Nome reperto;Indirizzo;Tipo
Chiesa di San Rocco;Via Mazzini;Chiesa
Chiostro della chiesa dei Padri Redentoristi;Via Ospedale, 12;Chiostro
Chiesa di San Valentino;Via S. Valentino, 30;Chiesa
Chiesa di San Salvar;Via S. Salvar, 20;Chiesa
Villa Spinola;Via Citella, 50;Edificio storico
Monumento ai Caduti;Piazza della Vittoria, 20A;Monumento
Capitello delle quattro gambe;Via Verona, 65;Monumento
Parco Natura Viva;Località Quercia;Parco faunistico
