Nome reperto;Indirizzo;Tipo
Monumento agli ex internati;Via Brizzi 22 - Pescantina;Monumento
Villa Quaranta;Via Ospedaletto, 57 - Pescantina;Edificio storico
Caà del Comun;Piazza San Rocco - Pescantina;Edificio storico
Villa Bertoldi;Via Bertoldi 13 - Pescantina;Edificio storico
